date,Open,High,Low,Close,adj. Close,Volume,dividend amount,split coefficient
2020-03-19,247.385,252.84,242.61,248.33,248.33,40750944.0,0.0,1.0
2020-03-18,239.77,250.0,237.12,246.67,246.67,74377540.0,0.0,1.0
2020-03-17,247.51,257.61,238.4,252.86,252.86,81013965.0,0.0,1.0
2020-03-16,241.95,259.08,240.0,242.21,242.21,80605865.0,0.0,1.0
2020-03-13,264.89,279.92,252.95,277.97,277.97,92683032.0,0.0,1.0
2020-03-12,255.94,270.0,248.0,248.23,248.23,104618517.0,0.0,1.0
2020-03-11,277.39,281.22,271.86,275.43,275.43,64094970.0,0.0,1.0
2020-03-10,277.14,286.44,269.37,285.34,285.34,71322520.0,0.0,1.0
2020-03-09,263.75,278.09,263.0,266.17,266.17,71686208.0,0.0,1.0
2020-03-06,282.0,290.82,281.23,289.03,289.03,56544246.0,0.0,1.0
2020-03-05,295.52,299.55,291.41,292.92,292.92,46893219.0,0.0,1.0
2020-03-04,296.44,303.4,293.13,302.74,302.74,54794568.0,0.0,1.0
2020-03-03,303.67,304.0,285.8,289.32,289.32,79868852.0,0.0,1.0
2020-03-02,282.28,301.44,277.72,298.81,298.81,85349339.0,0.0,1.0
2020-02-28,257.26,278.41,256.37,273.36,273.36,106721230.0,0.0,1.0
2020-02-27,281.1,286.0,272.96,273.52,273.52,80151381.0,0.0,1.0
2020-02-26,286.53,297.88,286.5,292.65,292.65,49678431.0,0.0,1.0
2020-02-25,300.95,302.53,286.13,288.08,288.08,57668364.0,0.0,1.0
2020-02-24,297.26,304.18,289.23,298.18,298.18,55548828.0,0.0,1.0
2020-02-21,318.62,320.45,310.5,313.05,313.05,32426415.0,0.0,1.0
2020-02-20,322.63,324.65,318.21,320.3,320.3,25141489.0,0.0,1.0
2020-02-19,320.0,324.57,320.0,323.62,323.62,23495991.0,0.0,1.0
2020-02-18,315.36,319.75,314.61,319.0,319.0,38190545.0,0.0,1.0
2020-02-14,324.73,325.98,322.85,324.95,324.95,20028447.0,0.0,1.0
2020-02-13,324.19,326.22,323.35,324.87,324.87,23686892.0,0.0,1.0
2020-02-12,321.47,327.22,321.47,327.2,327.2,28432573.0,0.0,1.0
2020-02-11,323.6,323.9,318.71,319.61,319.61,23580780.0,0.0,1.0
2020-02-10,314.18,321.55,313.85,321.55,321.55,27337215.0,0.0,1.0
2020-02-07,322.37,323.4,318.0,320.03,320.03,29421012.0,0.77,1.0
2020-02-06,322.57,325.22,320.2648,325.21,324.4294,26356385.0,0.0,1.0
2020-02-05,323.52,324.76,318.95,321.45,320.6784,29706718.0,0.0,1.0
2020-02-04,315.31,319.64,313.6345,318.85,318.0847,34154134.0,0.0,1.0
2020-02-03,304.3,313.49,302.22,308.66,307.9191,43496401.0,0.0,1.0
2020-01-31,320.93,322.68,308.29,309.51,308.7671,49897096.0,0.0,1.0
2020-01-30,320.5435,324.09,318.75,323.87,323.0926,31685808.0,0.0,1.0
2020-01-29,324.45,327.85,321.38,324.34,323.5615,54149928.0,0.0,1.0
2020-01-28,312.6,318.4,312.19,317.69,316.9275,40558486.0,0.0,1.0
2020-01-27,310.06,311.77,304.88,308.95,308.2084,40485005.0,0.0,1.0
2020-01-24,320.25,323.33,317.5188,318.31,317.546,36634380.0,0.0,1.0
2020-01-23,317.92,319.56,315.65,319.23,318.4638,26117993.0,0.0,1.0
2020-01-22,318.58,319.99,317.31,317.7,316.9374,25458115.0,0.0,1.0
2020-01-21,317.19,319.02,316.0,316.57,315.8102,27235039.0,0.0,1.0
2020-01-17,316.27,318.74,315.0,318.73,317.965,34454117.0,0.0,1.0
2020-01-16,313.59,315.7,312.09,315.24,314.4833,27207254.0,0.0,1.0
2020-01-15,311.85,315.5,309.55,311.34,310.5927,30480882.0,0.0,1.0
2020-01-14,316.7,317.57,312.17,312.68,311.9295,40653457.0,0.0,1.0
2020-01-13,311.64,317.07,311.15,316.96,316.1992,30028742.0,0.0,1.0
2020-01-10,310.6,312.67,308.25,310.33,309.5851,35217272.0,0.0,1.0
2020-01-09,307.235,310.43,306.2,309.63,308.8868,42621542.0,0.0,1.0
2020-01-08,297.16,304.4399,297.156,303.19,302.4623,33090946.0,0.0,1.0
2020-01-07,299.84,300.9,297.48,298.39,297.6738,27877655.0,0.0,1.0
2020-01-06,293.79,299.96,292.75,299.8,299.0804,29644644.0,0.0,1.0
2020-01-03,297.15,300.58,296.5,297.43,296.7161,36633878.0,0.0,1.0
2020-01-02,296.24,300.6,295.19,300.35,299.6291,33911864.0,0.0,1.0
2019-12-31,289.93,293.68,289.52,293.65,292.9452,25247625.0,0.0,1.0
2019-12-30,289.46,292.69,285.22,291.52,290.8203,36059614.0,0.0,1.0
2019-12-27,291.12,293.97,288.12,289.8,289.1044,36592936.0,0.0,1.0
2019-12-26,284.82,289.98,284.7,289.91,289.2141,23334004.0,0.0,1.0
2019-12-24,284.69,284.89,282.9197,284.27,283.5877,12119714.0,0.0,1.0
2019-12-23,280.53,284.25,280.3735,284.0,283.3183,24677883.0,0.0,1.0
2019-12-20,282.23,282.65,278.56,279.44,278.7693,69032743.0,0.0,1.0
2019-12-19,279.5,281.18,278.95,280.02,279.3479,24626947.0,0.0,1.0
2019-12-18,279.8,281.9,279.12,279.74,279.0686,29024687.0,0.0,1.0
2019-12-17,279.57,281.77,278.8,280.41,279.7369,28575798.0,0.0,1.0
2019-12-16,277.0,280.79,276.98,279.86,279.1883,32081105.0,0.0,1.0
2019-12-13,271.46,275.3,270.93,275.15,274.4896,33432806.0,0.0,1.0
2019-12-12,267.78,272.5599,267.321,271.46,270.8084,34437042.0,0.0,1.0
