date,Open,High,Low,Close,Volume
2020-03-17 08:14:44,63.39,63.39,63.39,63.39,0.0
2020-03-17 08:12:00,63.85,63.85,63.48,63.5,4546.0
2020-03-17 08:11:00,63.67,64.0,63.67,63.89,3222.0
2020-03-17 08:10:00,63.62,63.79,63.6,63.7,3609.0
2020-03-17 08:09:00,63.66,63.67,63.49,63.58,1859.0
2020-03-17 08:08:00,63.97,64.03,63.77,63.77,2680.0
2020-03-17 08:07:00,63.9,64.02,63.9,64.02,2645.0
2020-03-17 08:06:00,63.66,63.94,63.66,63.91,1807.0
2020-03-17 08:05:00,63.67,63.74,63.61,63.61,3825.0
2020-03-17 08:04:00,63.87,63.92,63.64,63.67,4265.0
2020-03-17 08:03:00,63.87,63.91,63.76,63.9,4694.0
2020-03-17 08:02:00,63.48,63.88,63.48,63.87,3762.0
2020-03-17 08:01:00,63.56,63.62,63.43,63.5,3313.0
2020-03-17 08:00:00,63.42,63.66,63.42,63.59,2745.0
2020-03-17 07:59:00,63.31,63.51,63.29,63.39,2291.0
2020-03-17 07:58:00,63.48,63.52,63.33,63.34,1688.0
2020-03-17 07:57:00,63.57,63.59,63.46,63.46,1394.0
2020-03-17 07:56:00,63.67,63.76,63.55,63.56,2934.0
2020-03-17 07:55:00,63.85,63.98,63.68,63.7,5379.0
2020-03-17 07:54:00,63.82,63.93,63.79,63.88,4148.0
2020-03-17 07:53:00,63.97,64.13,63.85,63.94,6692.0
2020-03-17 07:52:00,64.36,64.41,64.0,64.0,5797.0
2020-03-17 07:51:00,64.06,64.33,64.05,64.33,3554.0
2020-03-17 07:50:00,64.19,64.22,63.95,63.99,4352.0
2020-03-17 07:49:00,64.14,64.28,64.12,64.18,2524.0
2020-03-17 07:48:00,64.62,64.62,64.24,64.24,3901.0
2020-03-17 07:47:00,64.13,64.64,64.1,64.64,5120.0
2020-03-17 07:46:00,63.87,64.17,63.87,64.17,3050.0
2020-03-17 07:45:00,63.86,63.99,63.83,63.99,1430.0
2020-03-17 07:44:00,64.0,64.0,63.8,63.8,2126.0
2020-03-17 07:43:00,64.11,64.21,64.01,64.01,2384.0
2020-03-17 07:42:00,64.2,64.22,64.09,64.17,1625.0
2020-03-17 07:41:00,64.25,64.32,64.14,64.19,1942.0
2020-03-17 07:40:00,64.46,64.58,64.27,64.27,5519.0
2020-03-17 07:39:00,64.61,64.7,64.33,64.37,5931.0
2020-03-17 07:38:00,64.71,64.76,64.47,64.6,2657.0
2020-03-17 07:37:00,64.76,64.85,64.61,64.75,5638.0
2020-03-17 07:36:00,64.9,65.03,64.71,64.76,6772.0
2020-03-17 07:35:00,64.66,64.84,64.49,64.78,5005.0
2020-03-17 07:34:00,64.72,64.89,64.4,64.68,7884.0
2020-03-17 07:33:00,64.99,65.12,64.73,64.8,11887.0
2020-03-17 07:32:00,65.1,65.2,64.93,65.01,41567.0
2020-03-17 07:31:00,65.19,65.21,65.0,65.2,16201.0
2020-03-17 07:30:00,65.48,65.49,65.13,65.15,2220.0
2020-03-17 07:29:00,65.1,65.42,65.1,65.42,2814.0
2020-03-17 07:28:00,65.04,65.19,65.0,65.06,9600.0
2020-03-17 07:27:00,65.11,65.11,65.0,65.03,39263.0
2020-03-17 07:26:00,65.12,65.12,65.02,65.1,2533.0
2020-03-17 07:25:00,65.13,65.16,65.07,65.16,1128.0
2020-03-17 07:24:00,65.07,65.24,65.06,65.1,1657.0
