date,Open,High,Low,Close,adj. Close,Volume,dividend amount,split coefficient
2020-03-18,91.65,91.67,91.62,91.65,91.65,11351752.0,0.0,1.0
2020-03-17,91.64,91.64,91.6,91.63,91.63,10014912.0,0.0,1.0
2020-03-16,91.64,91.64,91.6,91.63,91.63,11007594.0,0.0,1.0
2020-03-13,91.6,91.63,91.59,91.62,91.62,11068994.0,0.0,1.0
2020-03-12,91.57,96.11,91.57,91.6,91.6,20351617.0,0.0,1.0
2020-03-11,91.57,91.61,91.57,91.59,91.59,19939911.0,0.0,1.0
2020-03-10,91.57,91.61,91.56,91.57,91.57,10764325.0,0.0,1.0
2020-03-09,91.58,91.63,91.56,91.59,91.59,14089850.0,0.0,1.0
2020-03-06,91.54,91.57,91.54,91.55,91.55,4562184.0,0.0,1.0
2020-03-05,91.54,91.55,91.53,91.55,91.55,4722164.0,0.0,1.0
2020-03-04,91.51,91.53,91.5,91.53,91.53,7400312.0,0.0,1.0
2020-03-03,91.47,91.51,91.46,91.49,91.49,6196286.0,0.0,1.0
2020-03-02,91.46,91.48,91.46,91.47,91.47,8320656.0,0.0973,1.0
2020-02-28,91.54,91.55,91.54,91.54,91.4427,10079364.0,0.0,1.0
2020-02-27,91.53,91.55,91.53,91.55,91.4527,7014269.0,0.0,1.0
2020-02-26,91.53,91.53,91.52,91.53,91.4327,4843065.0,0.0,1.0
2020-02-25,91.52,91.52,91.51,91.51,91.4128,4337197.0,0.0,1.0
2020-02-24,91.52,91.52,91.51,91.51,91.4128,3162566.0,0.0,1.0
2020-02-21,91.51,91.52,91.51,91.52,91.4227,865148.0,0.0,1.0
2020-02-20,91.51,91.51,91.5,91.5,91.4028,2327915.0,0.0,1.0
2020-02-19,91.5,91.5,91.49,91.5,91.4028,1327184.0,0.0,1.0
2020-02-18,91.49,91.5,91.49,91.5,91.4028,894907.0,0.0,1.0
2020-02-14,91.5,91.5,91.48,91.49,91.3928,1200794.0,0.0,1.0
2020-02-13,91.49,91.49,91.48,91.49,91.3928,1231136.0,0.0,1.0
2020-02-12,91.47,91.48,91.47,91.48,91.3828,823581.0,0.0,1.0
2020-02-11,91.46,91.47,91.46,91.47,91.3728,1152902.0,0.0,1.0
2020-02-10,91.47,91.48,91.46,91.46,91.3628,635782.0,0.0,1.0
2020-02-07,91.47,91.47,91.46,91.47,91.3728,873002.0,0.0,1.0
2020-02-06,91.46,91.47,91.46,91.47,91.3728,1156031.0,0.0,1.0
2020-02-05,91.45,91.46,91.44,91.46,91.3628,1015890.0,0.0,1.0
2020-02-04,91.45,91.45,91.44,91.44,91.3428,1013704.0,0.0,1.0
2020-02-03,91.45,91.45,91.44,91.44,91.3428,1826467.0,0.108,1.0
2020-01-31,91.55,91.55,91.54,91.54,91.3349,1757824.0,0.0,1.0
2020-01-30,91.54,91.55,91.54,91.54,91.3349,786770.0,0.0,1.0
2020-01-29,91.53,91.54,91.53,91.54,91.3349,845238.0,0.0,1.0
2020-01-28,91.53,91.54,91.53,91.53,91.3249,1707971.0,0.0,1.0
2020-01-27,91.52,91.53,91.52,91.53,91.3249,1463477.0,0.0,1.0
2020-01-24,91.53,91.53,91.52,91.52,91.3149,1243714.0,0.0,1.0
2020-01-23,91.52,91.53,91.52,91.52,91.3149,893032.0,0.0,1.0
2020-01-22,91.51,91.51,91.5,91.51,91.3049,1156837.0,0.0,1.0
2020-01-21,91.51,91.51,91.5,91.51,91.3049,3170687.0,0.0,1.0
2020-01-17,91.51,91.51,91.5,91.5,91.2949,1323163.0,0.0,1.0
