date,Open,High,Low,Close,Volume
2020-03-17 16:00:00,55.9,55.97,55.2,55.43,10356.0
2020-03-17 15:59:00,56.6,56.64,55.81,55.91,10152.0
2020-03-17 15:58:00,55.92,56.5961,55.9,56.53,10171.0
2020-03-17 15:57:00,55.28,55.93,55.28,55.93,7111.0
2020-03-17 15:56:00,55.5687,55.5687,54.845,55.18,10779.0
2020-03-17 15:55:00,54.83,55.6,54.65,55.42,7305.0
2020-03-17 15:54:00,54.305,54.66,54.29,54.66,8523.0
2020-03-17 15:53:00,54.26,54.335,54.17,54.27,19539.0
2020-03-17 15:52:00,54.41,54.44,54.26,54.305,5587.0
2020-03-17 15:51:00,54.2,54.5,54.195,54.41,6442.0
2020-03-17 15:50:00,54.24,54.39,54.14,54.14,2500.0
2020-03-17 15:49:00,54.35,54.3723,54.27,54.3723,2967.0
2020-03-17 15:48:00,54.18,54.3599,54.05,54.3599,4268.0
2020-03-17 15:47:00,54.11,54.21,54.11,54.21,2482.0
2020-03-17 15:46:00,54.37,54.5899,54.18,54.5899,660.0
2020-03-17 15:45:00,54.99,55.0,54.26,54.26,5493.0
2020-03-17 15:44:00,55.22,55.24,54.98,54.98,8924.0
2020-03-17 15:43:00,54.92,55.41,54.8401,55.18,5817.0
2020-03-17 15:42:00,54.43,54.84,54.4283,54.8,4362.0
2020-03-17 15:41:00,54.18,54.32,54.11,54.32,3032.0
2020-03-17 15:40:00,54.07,54.17,54.03,54.17,6318.0
2020-03-17 15:39:00,53.69,54.18,53.645,54.18,2623.0
2020-03-17 15:38:00,53.4898,53.7099,53.4898,53.68,3597.0
2020-03-17 15:37:00,53.26,53.52,53.26,53.52,1269.0
2020-03-17 15:36:00,52.69,53.0,52.69,52.9941,2856.0
2020-03-17 15:35:00,52.44,52.69,52.44,52.69,1488.0
2020-03-17 15:34:00,52.26,52.38,52.26,52.38,1714.0
2020-03-17 15:33:00,52.37,52.37,52.205,52.205,3109.0
2020-03-17 15:32:00,52.37,52.38,52.2694,52.38,1318.0
2020-03-17 15:31:00,52.23,52.3,52.23,52.3,1199.0
2020-03-17 15:30:00,52.14,52.23,52.045,52.22,1592.0
2020-03-17 15:29:00,51.84,52.07,51.84,52.07,1150.0
2020-03-17 15:28:00,51.74,51.98,51.74,51.89,1339.0
2020-03-17 15:27:00,52.09,52.09,51.98,51.98,1587.0
2020-03-17 15:26:00,52.265,52.33,52.13,52.13,3532.0
2020-03-17 15:25:00,52.3382,52.34,52.31,52.34,1314.0
2020-03-17 15:24:00,52.13,52.23,52.13,52.23,1081.0
2020-03-17 15:23:00,51.88,52.13,51.84,52.0,1537.0
2020-03-17 15:22:00,51.59,51.89,51.59,51.7266,1876.0
2020-03-17 15:21:00,52.01,52.01,51.43,51.43,2566.0
2020-03-17 15:20:00,52.11,52.16,52.04,52.04,2853.0
2020-03-17 15:19:00,52.15,52.16,52.04,52.11,1337.0
2020-03-17 15:18:00,51.97,52.17,51.97,52.15,1083.0
2020-03-17 15:17:00,52.06,52.2,52.05,52.18,1197.0
2020-03-17 15:16:00,51.89,52.3,51.875,52.18,1668.0
2020-03-17 15:15:00,51.9,51.9,51.76,51.89,800.0
2020-03-17 15:14:00,51.57,51.9,51.525,51.66,1020.0
2020-03-17 15:13:00,51.54,51.57,51.54,51.57,1427.0
2020-03-17 15:12:00,51.57,51.58,51.57,51.58,1386.0
2020-03-17 15:11:00,51.24,51.73,51.24,51.57,2178.0
2020-03-17 15:10:00,51.105,51.25,51.01,51.24,2635.0
2020-03-17 15:09:00,51.0,51.24,51.0,51.13,1818.0
2020-03-17 15:08:00,50.53,50.86,50.5,50.86,1580.0
2020-03-17 15:07:00,50.74,50.75,50.55,50.55,2759.0
2020-03-17 15:06:00,50.69,50.76,50.63,50.76,1678.0
2020-03-17 15:05:00,50.53,50.58,50.47,50.53,1616.0
2020-03-17 15:04:00,50.5,50.5,50.44,50.47,993.0
2020-03-17 15:03:00,50.79,50.79,50.58,50.58,2453.0
2020-03-17 15:02:00,51.15,51.15,50.82,50.82,3519.0
2020-03-17 15:01:00,51.16,51.16,51.14,51.14,1087.0
2020-03-17 15:00:00,51.15,51.15,51.15,51.15,470.0
2020-03-17 14:59:00,50.88,51.01,50.88,51.01,810.0
2020-03-17 14:58:00,50.96,51.005,50.88,50.88,2603.0
2020-03-17 14:57:00,50.77,51.11,50.77,51.11,3174.0
2020-03-17 14:56:00,50.7,50.71,50.615,50.69,1559.0
2020-03-17 14:55:00,50.48,50.7,50.48,50.7,1773.0
2020-03-17 14:54:00,50.435,50.435,50.36,50.36,440.0
2020-03-17 14:53:00,50.52,50.52,50.52,50.52,543.0
2020-03-17 14:52:00,50.87,50.87,50.53,50.53,3604.0
2020-03-17 14:51:00,50.96,50.96,50.85,50.85,1530.0
2020-03-17 14:50:00,50.95,50.96,50.9,50.9,1240.0
2020-03-17 14:49:00,51.01,51.01,50.84,51.0,1361.0
2020-03-17 14:48:00,50.87,51.01,50.74,51.01,7123.0
2020-03-17 14:47:00,50.73,50.87,50.73,50.87,773.0
2020-03-17 14:46:00,50.79,50.79,50.71,50.71,2521.0
2020-03-17 14:45:00,50.81,51.04,50.79,51.04,2506.0
2020-03-17 14:44:00,50.44,50.8,50.44,50.8,819.0
2020-03-17 14:43:00,50.64,50.64,50.407,50.407,1199.0
2020-03-17 14:42:00,50.26,50.48,50.26,50.48,904.0
2020-03-17 14:41:00,49.94,50.0,49.94,50.0,1397.0
2020-03-17 14:40:00,49.77,49.94,49.75,49.94,2827.0
2020-03-17 14:39:00,49.89,49.94,49.84,49.84,2074.0
2020-03-17 14:38:00,49.86,49.88,49.815,49.815,1131.0
2020-03-17 14:37:00,49.85,49.86,49.85,49.86,215.0
2020-03-17 14:36:00,49.845,49.845,49.845,49.845,250.0
2020-03-17 14:35:00,49.63,49.63,49.63,49.63,394.0
2020-03-17 14:34:00,49.63,49.63,49.63,49.63,229.0
2020-03-17 14:33:00,49.67,49.67,49.67,49.67,333.0
2020-03-17 14:32:00,49.52,49.53,49.52,49.52,1173.0
2020-03-17 14:31:00,49.35,49.35,49.35,49.35,222.0
2020-03-17 14:28:00,49.04,49.06,49.04,49.06,612.0
2020-03-17 14:26:00,48.535,48.74,48.475,48.74,4791.0
2020-03-17 14:25:00,48.53,48.53,48.53,48.53,107.0
2020-03-17 14:24:00,48.54,48.66,48.54,48.66,311.0
2020-03-17 14:22:00,48.76,48.76,48.61,48.61,1599.0
2020-03-17 14:20:00,48.74,48.74,48.62,48.62,799.0
2020-03-17 14:19:00,48.57,48.59,48.43,48.59,511.0
2020-03-17 14:17:00,48.5,48.5,48.5,48.5,469.0
2020-03-17 14:15:00,48.46,48.47,48.365,48.47,1583.0
2020-03-17 14:14:00,48.39,48.39,48.39,48.39,736.0
