date,Open,High,Low,Close,Volume
2020-03-17 15:59:00,6.0,6.0,6.0,6.0,170.0
2020-03-17 15:44:00,5.0,5.0,5.0,5.0,85.0
2020-03-17 15:38:00,4.59,5.0,4.59,5.0,549.0
2020-03-17 15:24:00,4.551,4.551,4.551,4.551,170.0
2020-03-17 15:18:00,4.46,4.46,4.46,4.46,425.0
2020-03-17 15:03:00,4.5,4.5,4.5,4.5,255.0
2020-03-17 14:59:00,4.5,4.5,4.5,4.5,433.0
2020-03-17 14:47:00,4.45,4.45,4.45,4.45,106.0
2020-03-17 14:35:00,4.5,4.5,4.5,4.5,212.0
2020-03-17 13:34:00,4.5,4.5,4.5,4.5,952.0
2020-03-17 13:25:00,4.499,4.499,4.499,4.499,180.0
2020-03-17 12:58:00,4.5,4.5,4.5,4.5,179.0
2020-03-17 12:48:00,4.5,4.5,4.45,4.45,438.0
2020-03-17 12:47:00,4.5,4.5,4.5,4.5,551.0
2020-03-17 12:37:00,4.3,4.3,4.3,4.3,318.0
2020-03-17 12:29:00,3.98,3.98,3.98,3.98,221.0
2020-03-17 12:26:00,3.975,3.975,3.975,3.975,94.0
2020-03-17 12:25:00,3.98,4.18,3.98,4.18,481.0
2020-03-17 12:11:00,4.5,4.5,4.5,4.5,276.0
2020-03-17 12:10:00,4.49,4.49,4.49,4.49,382.0
2020-03-17 12:08:00,4.448,4.448,4.448,4.448,124.0
2020-03-17 12:06:00,4.45,4.45,4.45,4.45,153.0
2020-03-17 12:05:00,4.5,4.5,4.5,4.5,191.0
2020-03-17 11:47:00,4.43,4.43,4.43,4.43,850.0
2020-03-17 11:42:00,4.38,4.38,4.38,4.38,1105.0
2020-03-17 11:30:00,4.245,4.28,4.245,4.28,374.0
2020-03-17 10:54:00,4.0,4.0,4.0,4.0,1150.0
2020-03-17 10:37:00,3.98,3.98,3.98,3.98,1693.0
2020-03-17 10:19:00,3.98,3.99,3.98,3.98,3827.0
2020-03-17 10:15:00,4.2,4.5,4.2,4.5,685.0
2020-03-17 10:14:00,4.0,4.0,4.0,4.0,3031.0
2020-03-17 10:04:00,4.0,4.0,4.0,4.0,611.0
2020-03-17 09:59:00,3.98,3.98,3.98,3.98,382.0
2020-03-17 09:50:00,3.977,3.977,3.977,3.977,122.0
2020-03-17 09:49:00,4.0,4.0,4.0,4.0,850.0
2020-03-17 09:47:00,4.0,4.0,4.0,4.0,515.0
2020-03-17 09:46:00,3.885,3.885,3.885,3.885,2316.0
2020-03-17 09:44:00,4.0,4.0,4.0,4.0,0.0
2020-03-17 09:43:00,4.0,4.0,4.0,4.0,750.0
2020-03-17 09:40:00,3.875,3.875,3.875,3.875,221.0
2020-03-17 09:34:00,3.99,3.99,3.99,3.99,293.0
2020-03-17 09:31:00,4.0,4.0,3.99,3.99,0.0
2020-03-16 15:28:00,3.5,3.5,3.5,3.5,50372.0
2020-03-16 15:18:00,3.84,3.84,3.84,3.84,850.0
2020-03-16 14:33:00,3.089,3.089,3.0,3.0,6270.0
2020-03-16 10:22:00,3.8,3.8,3.8,3.8,43703.0
2020-03-13 12:27:00,2.0,2.0,2.0,2.0,1662.0
2020-03-13 12:26:00,2.5225,2.5225,2.5225,2.5225,425.0
2020-03-13 12:24:00,4.0,4.0,4.0,4.0,170.0
2020-03-13 12:16:00,4.0,4.0,4.0,4.0,106.0
2020-03-13 12:11:00,4.005,4.005,4.005,4.005,1700.0
2020-03-13 11:21:00,4.2,4.2,4.2,4.2,0.0
2020-03-13 09:31:00,1.4,1.4,1.4,1.4,340.0
2020-03-12 09:31:00,1.4,1.4,1.4,1.4,16.0
2020-03-11 15:29:00,2.19,2.19,2.19,2.19,391.0
2020-03-11 15:28:00,1.87,2.19,1.87,2.19,510.0
2020-03-11 13:04:00,2.2,2.2,2.2,2.2,1700.0
2020-03-11 12:35:00,2.45,2.45,2.355,2.355,1976.0
2020-03-11 12:17:00,2.4,2.4,2.4,2.4,935.0
2020-03-11 10:58:00,2.45,2.45,2.45,2.45,446.0
2020-03-11 09:32:00,2.2501,2.2501,2.2501,2.2501,160.0
2020-03-11 09:31:00,1.9,1.9,1.9,1.9,0.0
